#;$id;broader_concept;libellé;Description du titre du niveau;libellé alternatif;
lang;;;seda;fr;fr;
url;skos:Concept;skos:broader;skos:prefLabel;skos:definition;skos:altLabel;
type;;url;string;string;string;
;#1;;audio;catégorie;;
;#1-1;#1;aac;extension;;
;#1-1-1;#1-1;audio/aac;type_mime;;
;#1-1-1-1;#1-1-1;fmt/xxx;format;;
;#1-2;#1;flac;extension;;
;#1-2-1;#1-2;audio/x-flac;type_mime;;
;#1-2-1-1;#1-2-1;fmt/279;format;1.2.1;
;#1-3;#1;mp3;extension;;
;#1-3-1;#1-3;audio/mpeg;type_mime;;
;#1-3-1-1;#1-3-1;fmt/134;format;toutes versions;
;#1-3-2;#1-3;audio/MPA;type_mime;;
;#1-3-2-1;#1-3-2;fmt/134;format;toutes versions;
;#1-3-3;#1-3;audio/mparobust;type_mime;;
;#1-3-3-1;#1-3-3;fmt/134;format;toutes versions;
;#1-3-4;#1-3;audio/mp3;type_mime;;
;#1-3-4-1;#1-3-4;fmt/134;format;toutes versions;
;#1-4;#1;ogg;extension;;
;#1-4-1;#1-4;audio/ogg;type_mime;;
;#1-4-1-1;#1-4-1;fmt/203;format;;
;#1-4-1-2;#1-4-1;fmt/944;format;;
;#1-4-1-3;#1-4-1;fmt/947;format;;
;#2;;compression;catégorie;;
;#2-1;#2;7z;extension;;
;#2-1-1;#2-1;application/x-7z-compressed;type_mime;;
;#2-1-1-1;#2-1-1;fmt/484;format;toutes versions;
;#2-2;#2;7z.001;extension;;
;#2-2-1;#2-2;application/x-7z-compressed;type_mime;;
;#2-2-1-1;#2-2-1;fmt/484;format;toutes versions;
;#2-3;#2;7z.002;extension;;
;#2-3-1;#2-3;application/x-7z-compressed;type_mime;;
;#2-3-1-1;#2-3-1;fmt/484;format;toutes versions;
;#2-4;#2;7z.003;extension;;
;#2-4-1;#2-4;application/x-7z-compressed;type_mime;;
;#2-4-1-1;#2-4-1;fmt/484;format;toutes versions;
;#2-5;#2;7z.004;extension;;
;#2-5-1;#2-5;application/x-7z-compressed;type_mime;;
;#2-5-1-1;#2-5-1;fmt/484;format;toutes versions;
;#2-6;#2;zip;extension;;
;#2-6-1;#2-6;application/zip;type_mime;;
;#2-6-1-1;#2-6-1;x-fmt/263;format;toutes versions;
;#3;;document;catégorie;;
;#3-1;#3;doc;extension;;
;#3-1-1;#3-1;application/msword;type_mime;;
;#3-1-1-1;#3-1-1;fmt/37;format;version 1.0;
;#3-1-1-2;#3-1-1;fmt/38;format;version 2.0;
;#3-1-1-3;#3-1-1;fmt/273;format;version 3.0;
;#3-1-1-4;#3-1-1;fmt/274;format;version 4.0;
;#3-1-1-5;#3-1-1;fmt/275;format;version 5.0;
;#3-1-1-6;#3-1-1;fmt/276;format;version 5.5;
